Strike,Date,District,Province,min_killed,max_killed ,min_civillians_killed,max_civillians_killed,min_children_killed,max_children_killed,min_injured,max_injured,Strike link,Timeline URL
AFG294,15/12/2016,Haska Mena,Nangarhar,4,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#299,
AFG295,15/12/2016,Achin,Nangarhar,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#300,
AFG296,24/12/2016,Bati Kot,Nangarhar,1,1,0,0,0,0,4,4,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#301,
AFG297,24/12/2016,Achin,Nangarhar,2,2,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#302,
AFG298,27/12/2016,Achin,Nangarhar,3,3,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#303,
AFG299,28/12/2016,Haska Mena,Nangarhar,2,2,0,0,0,0,1,1,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#304,
AFG300,28/12/2016,Charparhar,Nangarhar,3,3,0,0,0,0,7,7,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#305,
AFG301,31/12/2016,-,-,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#307,
AFG302,10/01/2017,Sabri,Khost,4,4,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/306,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/
AFG303,15/01/2017,Musa Qala,Helmand,15,15,0,0,0,0,10,10,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/308,
AFG304,20/01/2017,Achin,Nangarhar,4,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/309,
AFG305,27/01/2017,Achin,Nangarhar,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/311,
AFG306,28/01/2017,-,Nangarhar,7,7,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/310,
AFG307,31/01/2017,Sangin,Helmand,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/312,
AFG308,31/01/2017,-,-,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/315,
AFG309,01/02/2017,Achin,Nangarhar,2,12,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/313,
AFG310,02/02/2017,-,Khost,5,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/314,
AFG311,03/02/2017,Achin and Haska Mina,Nangarhar,21,21,0,0,0,0,6,6,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/316,
AFG312,06/02/2017,Garamser,Helmand,6,6,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/317,
AFG313,06/02/2017,Haska Mena,Nangarhar,2,2,0,0,0,0,3,3,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/318,
AFG314,08/02/2017,Achin and Haska Mena,Nangarhar,11,11,0,0,0,0,6,6,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/319,
AFG315,10/02/2017,Sangin,Helmand,0,68,0,26,0,19,0,6,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/320,
AFG316,11/02/2017,Sangin,Helmand,0,0,0,0,0,0,0,0,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/321,
AFG317,19/02/2017,Nawa,Ghazni,1,1,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2017/01/11/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2017/322,
AFG318,20/02/2017,Achin,Nangarhar,12,12,0,0,0,0,0,0,,
AFG319,23/02/2017,Garamser,Helmand,11,11,0,0,0,0,0,0,,
AFG320,26/02/2017,Dashti Archi,Kunduz,5,9,0,0,0,0,0,0,,
AFG321,27/02/2017,Charparhar,Nangarhar,2,2,0,0,0,0,3,3,,
AFG322,28/02/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG323,01/03/2017,Lal Pura,Nangarhar,6,6,0,0,0,0,1,1,,
AFG324,09/03/2017,Between Nish and Khakriz districts,Kandahar,20,20,0,0,0,0,0,0,,
AFG325,13/03/2017,Gilan,Ghazni,3,3,0,0,0,0,0,0,,
AFG326,18/03/2017,Unknown,Nangarhar,0,0,0,0,0,0,0,0,,
AFG327,18/03/2017,Unknown,Paktika,2,2,0,0,0,0,0,0,,
AFG328,19/03/2017,Unknown,Nangarhar,0,0,0,0,0,0,0,0,,
AFG329,19/03/2017,Unknown,Paktika,4,4,0,0,0,0,0,0,,
AFG330,31/03/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG331,04/04/2017,Achin,Nangarhar,3,3,3,3,2,2,4,4,,
AFG332,09/04/2017,Narkh,Wardak,6,6,0,0,0,0,0,0,,
AFG333,13/04/2017,Achin,Nangarhar,36,100,0,0,0,0,0,0,,
AFG334,15/04/2017,Achin,Nangarhar,0,2,0,0,0,0,0,0,,
AFG335,17/04/2017,Archi,Kunduz,9,16,0,0,0,0,0,0,,
AFG336,25/04/2017,Charkh district,Logar,2,2,0,0,0,0,5,5,,
AFG337,26/04/2017,Unknown,Nangarhar,36,36,0,0,0,0,0,0,,
AFG338,27/04/2017,Unknown,Wardak,1,1,0,0,0,0,0,0,,
AFG339,30/04/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG340,30/04/2017,Greshk,Helmand,7,7,0,0,0,0,0,0,,
AFG341,05/05/2017,Unknown,Nangarhar,8,8,0,0,0,0,0,0,,
AFG342,06/05/2017,Maidan Shahr,Wardak,5,6,0,0,0,0,6,6,,
AFG343,08/05/2017,Unknown,Paktia,0,50,0,0,0,0,0,6,,
AFG344,18/05/2017,Garamser,Helmand,14,14,0,0,0,0,8,8,,
AFG345,18/05/2017,Garamser,Helmand,9,9,0,0,0,0,0,0,,
AFG346,26/05/2017,Chardara,Kunduz,4,13,0,0,0,0,0,0,,
AFG347,29/05/2017,Nazian,Nangarhar,3,4,0,0,0,0,0,0,,
AFG348,30/05/2017,Dasht e Archi,Kunduz,7,7,0,0,0,0,0,0,,
AFG349,31/05/2017,Tarin Kot,Uruzgan,25,25,0,0,0,0,20,20,,
AFG350,31/05/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG351,03/06/2017,Achin,Nangarhar,1,1,0,0,0,0,0,0,,
AFG352,08/06/2017,Kot,Nangarhar,10,10,0,0,0,0,0,0,,
AFG353,09/06/2017,Nad Ali,Helmand,2,10,0,0,0,0,0,16,,
AFG354,22/06/2017,Unknown,Nangarhar,0,0,0,0,0,0,0,0,,
AFG355,29/06/2017,Manogi,Kunar,3,3,0,0,0,0,1,1,,
AFG356,29/6/2017,Khas,Uruzgan,2,4,0,0,0,0,0,3,,
AFG357,30/6/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG358,01/07/2017,Achin,Nangarhar,11,11,0,0,0,0,0,0,,
AFG359,01/07/2017,Sherzad,Nangarhar,4,4,0,0,0,0,0,0,,
AFG360,02/07/2017,Nawar,Helmand,1,42,0,0,0,0,0,36,,
AFG361,02/07/2017,Nad Ali,Helmand,15,15,0,0,0,0,9,9,,
AFG362,07/07/2017,Haska Mena,Nangarhar,14,14,0,0,0,0,11,11,,
AFG363,08/07/2017,Zurmat,Paktia,7,7,0,0,0,0,0,0,,
AFG364,08/07/2017,Zurmat,Paktia,7,16,0,1,0,0,0,0,,
AFG365,09/07/2017,Qaghayio,Laghman,2,2,0,0,0,0,0,0,,
AFG366,11/07/2017,Khan Abad,Kunduz,5,5,0,0,0,0,1,1,,
AFG367,11/07/2017,Unknown,Kunar,5,11,0,0,0,0,0,0,,
AFG368,14/07/2017,Bati Kot,Nangarhar,8,8,0,0,0,0,0,0,,
AFG369,15/07/2017,Nawa district,Helmand,0,38,0,0,0,0,0,0,,
AFG370,20/07/2017,Watapur,Helmand,4,4,0,0,0,0,0,0,,
AFG371,20/07/2017,Gereshk,Helmand,0,0,0,0,0,0,0,0,,
AFG372,21/07/2017,Gereshk,Helmand,9,16,0,0,0,0,2,2,,
AFG373,21/07/2017,Unknown,Helmand,0,0,0,0,0,0,0,0,,
AFG374,23/07/2017,Haska Mena,Nangarhar,0,33,0,8,0,2,0,25,,
AFG375,31/07/2017,Watupur,Kunar,7,7,0,0,0,0,0,0,,
AFG376,31/07/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG377,04/08/2017,Musa Khil,Khost,50,50,0,0,0,0,3,3,,
AFG378,05/08/2017,Chapa Dara,Kunar,3,3,0,0,0,0,0,0,,
AFG379,07/08/2017,Gilan,Ghazni,2,7,0,0,0,0,0,4,,
AFG380,09/08/2017,Alishang district,Laghman,8,8,0,0,0,0,0,0,,
AFG381,10/08/2017,Haska Mena,Nangarhar,0,21,0,16,0,2,0,3,,
AFG382,10/08/2017,Darah Ye Pech,Kunar,4,4,0,0,0,0,0,0,,
AFG383,11/08/2017,Unknown,Wardak,9,9,0,0,0,0,0,0,,
AFG384,12/08/2017,Nawa,Helmand,5,5,0,0,0,0,0,0,,
AFG385,16/08/2017,Achin,Nangarhar,45,54,0,0,0,0,0,0,,
AFG386,21/08/2017,Achin,Nangarhar,6,6,0,0,0,0,0,0,,
AFG387,24/08/2017,Shah Walikot,Kandahar,42,42,0,0,0,0,17,17,,
AFG388,28/08/2017,Achin,Nangarhar,14,14,0,0,0,0,0,0,,
AFG389,30/08/2017,Pul e 'Alam,Logar,13,13,13,13,10,10,12,12,,
AFG390,31/08/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG391,04/09/2017,Qarabagh,Kabul,0,2,0,2,0,0,0,3,,
AFG392,04/09/2017,Manogi,Kunar,12,12,0,0,0,0,0,0,,
AFG393,05/09/2017,Nadir Shahwali Kot,Khost,6,6,0,0,0,0,1,1,,
AFG394,09/09/2017,Unknown,Kunar,1,1,0,0,0,0,0,0,,
AFG395,18/09/2017,Bala Balook,Farah,0,15,0,0,0,0,0,3,,
AFG396,20/09/2017,Nari,Kunar,11,11,0,0,0,0,0,0,,
AFG397,21/09/2017,Ghazi Abad,Kunar,7,7,0,0,0,0,0,0,,
AFG398,24/09/2017,Haska Mena,Nangarhar,5,5,0,0,0,0,0,0,,
AFG399,27/09/2017,Kabul,Kabul,0,4,0,0,0,0,5,11,,
AFG400,27/09/2017,Haska Mena,Nangarhar,5,5,0,0,0,0,0,0,,
AFG401,29/09/2017,Nazian,Nangarhar,15,15,0,0,0,0,0,0,,
AFG402,30/09/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,,
AFG403,10/10/2017,Raghistan,Badakhshan,0,8,0,0,0,0,0,15,,
AFG404,10/10/2017,Bati Kot,Nangarhar,2,2,0,0,0,0,0,0,,
AFG405,11/10/2017,Haska Mena,Nangarhar,4,4,0,0,0,0,0,0,,
AFG406,11/10/2017,Syed Karim,Paktia,11,11,0,0,0,0,2,2,,
AFG407,11/10/2017,Ahmadabad,Paktia,4,4,0,0,0,0,3,3,,
AFG408,12/10/2017,Unknown,Kunar,0,20,0,0,0,0,0,0,,
AFG409,16/10/2017,Jaji Maydan,Paktia,0,0,0,0,0,0,0,0,,
AFG410,19/10/2017,Maiwand,Kandahar,0,0,0,0,0,0,0,0,,
AFG411,20/10/2017,Achin,Nangarhar,10,10,0,0,0,0,0,0,,
AFG412,04/11/2017,Chardara,Kunduz,10,80,10,55,0,0,0,10,,
AFG413,04/11/2017,Achin,Nangarhar,15,15,0,0,0,0,0,0,,
AFG414,05/11/2017,Sayed Karam,Paktia,4,4,0,0,0,0,7,7,,
AFG415,05/11/2017,Sayed Karam,Paktia,4,4,0,0,0,0,0,0,,
AFG416,13/11/2017,Achin,Nangarhar,4,4,0,0,0,0,0,0,,
AFG417,14/11/2017,Sangin,Helmand,6,6,0,6,0,0,0,0,,
AFG418,19/11/2017,Unknown,Helmand,0,0,0,0,0,0,0,0,,
AFG419,21/11/2017,Unknown,Helmand,0,44,0,0,0,0,0,0,,
AFG420,27/11/2017,Haska Mena,Nangarhar,7,7,0,0,0,0,0,0,,
AFG421,28/11/2017,Azra,Logar,7,7,0,0,0,0,0,0,,
AFG422,29/11/2017,Achin,Nangarhar,8,8,0,0,0,0,0,0,,
AFG423,01/12/2017,Khogyani,Nangarhar,4,4,0,0,0,0,8,8,,
AFG424,01/12/2017,Musa Qala,Helmand,5,5,0,0,0,0,0,0,,
AFG425,02/12/2017,Achin,Nangarhar,8,8,0,0,0,0,0,0,,
AFG426,03/12/2017,Achin,Nangarhar,8,8,0,0,0,0,0,0,,
AFG427,04/12/2017,Between Musa Qala and Greskh,Helmand,6,6,0,0,0,0,0,0,,
AFG428,05/12/2017,Achin,Nangarhar,25,25,0,0,0,0,0,0,,
AFG429,07/12/2017,Unknown,Helmand,0,0,0,0,0,0,0,0,,
